,0.20.0,0.20.1,0.20.2,0.20.2+228,0.20.2+320,0.20.2+737,0.20.2-cdh3b4,0.20.2-cdh3u0,0.20.2-cdh3u1,0.20.2-cdh3u2,0.20.2-cdh3u3,0.20.2-cdh3u4,0.20.2-cdh3u5,0.20.203.0,0.20.204.0,0.20.205.0,0.21.0,0.22.0,0.23.0,0.23.0-cdh4b1,0.23.1,0.23.1-cdh4.0.0b2,0.23.3,1.0.0,1.0.1,1.0.2,1.0.3,2.0.0-alpha,2.0.0-cdh4.0.0,2.0.0-cdh4.0.1,2.0.0-cdh4.1.0,2.0.1-alpha
org.apache.hadoop.examples.Grep,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.Join,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.MultiFileWordCount,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.MultiFileWordCount.CombineFileLineRecordReader,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
org.apache.hadoop.examples.MultiFileWordCount.MapClass,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.MultiFileWordCount.MultiFileLineRecordReader,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.MultiFileWordCount.MyInputFormat,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.MultiFileWordCount.WordOffset,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.PiEstimator,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.PiEstimator.PiMapper,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.PiEstimator.PiReducer,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.RandomTextWriter,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.RandomWriter,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.SecondarySort,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.SecondarySort.FirstGroupingComparator,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.SecondarySort.FirstPartitioner,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.SecondarySort.IntPair,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.SecondarySort.IntPair.Comparator,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
org.apache.hadoop.examples.SecondarySort.MapClass,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N
